Time,Open,High,Low,Last,Change,%Chg,Volume
12/23/2020,368.28,369.62,367.2172,367.57,0.33,+0.09%,46201400
12/22/2020,368.21,368.3317,366.03,367.24,-0.62,-0.17%,48388400
12/21/2020,364.97,378.46,362.03,367.86,-1.32,-0.36%,96386704
12/18/2020,370.97,371.15,367.02,369.18,-3.06,-0.82%,136542304
12/17/2020,371.94,372.46,371.05,372.24,2.07,+0.56%,64119400
12/16/2020,369.82,371.16,368.8676,370.17,0.58,+0.16%,58420500
12/15/2020,367.4,369.59,365.92,369.59,4.93,+1.35%,64071100
12/14/2020,368.64,369.8,364.47,364.66,-1.64,-0.45%,69216096
12/11/2020,364.9,366.7402,363.26,366.3,-0.43,-0.12%,57698600
12/10/2020,365.37,367.86,364.43,366.73,-0.12,-0.03%,57735300
12/09/2020,370.88,371.05,365.95,366.85,-3.32,-0.90%,74098304
12/08/2020,367.72,370.78,367.67,370.17,1.08,+0.29%,42458800
12/07/2020,369.02,369.62,367.72,369.09,-0.76,-0.21%,48944200
12/04/2020,367.32,369.85,367.22,369.85,3.16,+0.86%,50749800
12/03/2020,366.68,368.19,365.5,366.69,-0.1,-0.03%,62882000
12/02/2020,364.82,366.96,364.2,366.79,0.77,+0.21%,45927000
12/01/2020,365.57,367.68,364.93,366.02,3.96,+1.09%,74504896
11/30/2020,362.83,363.12,359.17,362.06,-1.61,-0.44%,83872704
11/27/2020,363.84,364.18,362.58,363.67,1.01,+0.28%,28514000
11/25/2020,363.13,363.16,361.48,362.66,-0.56,-0.15%,45330800
11/24/2020,360.21,363.81,359.29,363.22,5.76,+1.61%,62415800
11/23/2020,357.28,358.82,354.865,357.46,2.13,+0.60%,63230600
11/20/2020,357.5,357.72,355.25,355.33,-2.45,-0.68%,70411800
11/19/2020,355.6,358.18,354.15,357.78,1.5,+0.42%,59940900
11/18/2020,360.91,361.5,356.24,356.28,-4.34,-1.20%,70591296
11/17/2020,359.97,361.92,358.34,360.62,-1.95,-0.54%,66111000
11/16/2020,360.98,362.78,359.59,362.57,4.47,+1.25%,74541104
11/13/2020,355.27,358.9,354.71,358.1,4.89,+1.38%,62959400
11/12/2020,355.58,356.7182,351.26,353.21,-3.46,-0.97%,68118496
11/11/2020,356.4,357.56,355.06,356.67,2.63,+0.74%,58649000
11/10/2020,353.49,355.18,350.51,354.04,-0.52,-0.15%,85552000
11/09/2020,363.97,364.38,354.06,354.56,4.4,+1.26%,172304192
11/06/2020,349.93,351.51,347.65,350.16,-0.08,-0.02%,74972896
11/05/2020,349.24,352.19,348.86,350.24,6.7,+1.95%,82039696
11/04/2020,340.86,347.94,339.59,343.54,7.51,+2.23%,126959696
11/03/2020,333.69,338.25,330.2935,336.03,5.83,+1.77%,93294096
11/02/2020,330.2,332.36,327.24,330.2,3.66,+1.12%,86068304
10/30/2020,328.28,329.69,322.6,326.54,-3.44,-1.04%,120448600
10/29/2020,326.91,333.395,325.09,329.98,3.32,+1.02%,90597600
10/28/2020,332.1,338.2483,326.13,326.66,-11.56,-3.42%,127094304
10/27/2020,339.76,340.12,337.99,338.22,-1.17,-0.34%,65994100
10/26/2020,342.13,342.98,335.62,339.39,-6.39,-1.85%,91473000
10/23/2020,345.93,345.99,343.13,345.78,1.17,+0.34%,49143900
10/22/2020,342.96,345.24,340.65,344.61,1.88,+0.55%,55399200
10/21/2020,343.33,348.6847,342.4,342.73,-0.65,-0.19%,63574900
10/20/2020,343.46,346.88,342.64,343.38,1.37,+0.40%,60051800
10/19/2020,348.65,349.33,341.04,342.01,-5.28,-1.52%,68425600
10/16/2020,348.96,350.75,347.1,347.29,-0.21,-0.06%,89501800
10/15/2020,343.71,348.02,343.13,347.5,-0.43,-0.12%,60357600
10/14/2020,350.75,351.93,347.14,347.93,-2.2,-0.63%,57958700
10/13/2020,352.28,352.4651,349.09,350.13,-2.3,-0.65%,73255504
10/12/2020,349.59,354.02,349.06,352.43,5.58,+1.61%,80388496
10/09/2020,345.56,347.35,344.89,346.85,3.07,+0.89%,59528600
10/08/2020,342.85,343.85,341.86,343.78,3.02,+0.89%,45242400
10/07/2020,338.12,341.63,338.09,340.76,5.83,+1.74%,56999500
10/06/2020,339.91,342.17,334.38,334.93,-4.83,-1.42%,90128800
10/05/2020,336.06,339.96,336.01,339.76,5.92,+1.77%,45713100
10/02/2020,331.7,337.0126,331.19,333.84,-3.2,-0.95%,89431104
10/01/2020,337.69,338.74,335.01,337.04,2.15,+0.64%,88698704
09/30/2020,333.09,338.29,332.88,334.89,2.52,+0.76%,104081104
09/29/2020,333.97,334.77,331.6209,332.37,-1.82,-0.54%,51531500
09/28/2020,333.22,334.96,332.15,334.19,5.46,+1.66%,64584600
09/25/2020,322.58,329.58,321.64,328.73,5.23,+1.62%,71069400
09/24/2020,321.22,326.797,319.8,323.5,0.86,+0.27%,76681296
09/23/2020,330.9,331.2,322.1,322.64,-7.66,-2.32%,93112200
09/22/2020,328.57,330.9,325.86,330.3,3.33,+1.02%,63612100
09/21/2020,325.7,327.13,321.73,326.97,-3.68,-1.11%,99450800
09/18/2020,335.37,335.49,327.97,330.65,-5.19,-1.55%,105877904
09/17/2020,333.56,337.6996,332.991,335.84,-2.98,-0.88%,91523296
09/16/2020,341.51,343.06,338.52,338.82,-1.35,-0.40%,82211200
09/15/2020,341.12,342.02,338.4683,340.17,1.71,+0.51%,52920800
09/14/2020,337.49,340.38,334.2208,338.46,4.4,+1.32%,65605600
09/11/2020,335.82,336.97,331,334.06,0.17,+0.05%,84680096
09/10/2020,341.82,342.53,332.85,333.89,-5.9,-1.74%,90569504
09/09/2020,337.55,342.46,336.61,339.79,6.58,+1.97%,91462200
09/08/2020,336.71,342.64,332.88,333.21,-9.36,-2.73%,114465296
09/04/2020,346.13,347.83,334.87,342.57,-2.82,-0.82%,139156192
09/03/2020,355.87,356.38,342.59,345.39,-12.31,-3.44%,148011104
09/02/2020,354.67,358.75,353.43,357.7,5.1,+1.45%,69540000
09/01/2020,350.21,352.71,349.24,352.6,3.29,+0.94%,54999300
08/31/2020,350.35,351.3,349.06,349.31,-1.27,-0.36%,66099100
08/28/2020,349.44,350.72,348.15,350.58,2.25,+0.65%,48588900
08/27/2020,348.51,349.9,346.53,348.33,0.76,+0.22%,58034100
08/26/2020,344.76,347.86,344.17,347.57,3.45,+1.00%,50790200
08/25/2020,343.53,344.21,342.27,344.12,1.2,+0.35%,38463300
08/24/2020,342.12,343,339.4504,342.92,3.44,+1.01%,48588600
08/21/2020,337.55,339.72,337.55,339.48,1.2,+0.35%,55106600
08/20/2020,335.36,338.8,335.22,338.28,1.05,+0.31%,42207800
08/19/2020,339.05,339.61,336.62,337.23,-1.41,-0.42%,68054200
08/18/2020,338.34,339.1,336.61,338.64,0.73,+0.22%,38733900
08/17/2020,337.94,338.34,336.8517,337.91,1.07,+0.32%,35480900
08/14/2020,336.41,337.42,335.62,336.84,0.01,0.00%,47260300
08/13/2020,336.61,338.2514,335.83,336.83,-0.61,-0.18%,41816100
08/12/2020,335.44,338.28,332.8377,337.44,4.64,+1.39%,53826100
08/11/2020,336.85,337.54,332.01,332.8,-2.77,-0.83%,69601000
08/10/2020,335.06,335.77,332.955,335.57,1,+0.30%,44282000
08/07/2020,333.28,334.88,332.3,334.57,0.24,+0.07%,57308200
08/06/2020,331.48,334.46,331.13,334.33,2.22,+0.67%,43679400
08/05/2020,331.47,332.39,331.18,332.11,2.05,+0.62%,42866300
08/04/2020,327.86,330.06,327.86,330.06,1.27,+0.39%,41917800
08/03/2020,328.32,329.62,327.73,328.79,2.27,+0.70%,53077900
